1317432669010071552	1602935399000	kyle00463	de	RT @MirDriM_Art: Frankenstein's Monster https://t.co/7TAy04EfcK	true	1317432323348992000
1317432323348992000	1602935317000	MirDriM_Art	de	Frankenstein's Monster https://t.co/7TAy04EfcK	false		
1321771332573499394	1603969817000	GuertelOpen	de	RT @drecksuser: 12 jährige Thomasse sehen wie Polizei Lukas von Schule abholt und posten in Snapstory  #.freelukas  1213 	true	1320879055818887168
1320879055818887168	1603757082000	drecksuser	de	12 jährige Thomasse sehen wie Polizei Lukas von Schule abholt und posten in Snapstory  #.freelukas  1213 	false		
1328131222816616450	1605486133000	helalcihan	de	@EsmaKrs so unwitzig ich hasse mich	false		
1321548908632395776	1603916787000	tarantino9696	de	@Umschubsengel Ich danke dir!	false		
1325661981517312002	1604897420000	archivetaegukk	de	RT @archivetaegukk: #taekook dynamite 200310 https://t.co/mZrG1cOmBc	true	1312259050625667072
1312259050625667072	1601701912000	archivetaegukk	de	#taekook dynamite 200310 https://t.co/mZrG1cOmBc	false		
1326042467804864517	1604988135000	TitusStrzelczyk	de	RT @AdivonPoes: Erfreulich, dass @elonmusk für #Tesla in #D auch Leute einstellen will, die nix können, pardon, keine abgeschlossene Berufs	true	1326041456767807490
1326041456767807490	1604987894000	AdivonPoes	de	Erfreulich, dass @elonmusk für #Tesla in #D auch Leute einstellen will, die nix können, pardon, keine abgeschlossene Berufsausbildung haben. Hätte es Sinn, wenn ich @KuehniKev und @PaulZiemiak für ein Vorstellungsgespräch vorbeischicke? https://t.co/xiaKUwvM54	false		
1319311666845286402	1603383387000	GoldisOnly	de	@Kreeetos @LibertarianMood Pacta sunt servanda. Wer Vertragspflichten verletzt, macht sich schadenersatzpflichtig.	false		
1324630275003981829	1604651442000	ThomasRiemann	de	RT @Animatador: Warum nicht einfach mal eine Doktorarbeit plagiieren und schauen ob's jemand merkt oder ob es Konsequenzen hat: https://t.c	true	1324618708036292608
1324618708036292608	1604648684000	Animatador	de	Warum nicht einfach mal eine Doktorarbeit plagiieren und schauen ob's jemand merkt oder ob es Konsequenzen hat: https://t.co/PXiips3vxH	false		
1324775397943398403	1604686042000	GreenSaxo	de	RT @MarioWettlaufer: So geht #Wissenschaft - mit ehrlichen Antworten, aber dem Willen, es heraus zu finden. Wir wollen das Leben und die Ge	true	1324773113268232194
1324773113268232194	1604685497000	MarioWettlaufer	de	So geht #Wissenschaft - mit ehrlichen Antworten, aber dem Willen, es heraus zu finden. Wir wollen das Leben und die Gesundheit unserer Kinder schützen, weil wir besorgt sind, und die Mediziner wollen jedes Leben schützen und retten. Danke @CiesekSandra! #SichereBildungJETZT #twlz	false		
1326488594966478848	1605094500000	kyuukwon	de	@motgPh Mine poster haechan #MOTG11BUDOL	false		
1325789589051764736	1604927844000	_l17r_	de	RT @KremLten: Liebe "Neue ÖVP"  Nachdem nun jeder einzelne eurer Minister ein legendäres Versagen in seinem Resort verzeichnen kann, wäre i	true	1325738479456808960
1325738479456808960	1604915659000	KremLten	de	Liebe "Neue ÖVP"  Nachdem nun jeder einzelne eurer Minister ein legendäres Versagen in seinem Resort verzeichnen kann, wäre ich durchaus bereit eure Resignationsschreiben anzunehemen, Ich hatte schon viele Angestellte, aber so wenig Bemühen, wie ihr geziegt habt, war mir fremd	false		
1322942797461204992	1604249116000	Rusty_EU	de	@LaurienXy @beeax2 @criztianotorres Kann den Typen nicht ernstnehmen der hat danach probiert uns zu töten schießt maathi auf 30 hp und die verlieren noch https://t.co/DewOdruTEh	false		
1327280655697383424	1605283342000	Anke4you	de	@welt Verzichtet ist gut 	false		
1326925733722284034	1605198722000	cenitAG	de	In dem kollaborativen Netzwerk der #SAP #PLM Foundation können Prozesse wie Freigaben oder Änderungen einfach abgebildet und nachvollzogen werden. Erfahren Sie mehr über die intelligente Prozessunterstützung in unserem Webinar: https://t.co/liQWjIGvZj #D2O #DesignToOperate https://t.co/BsxFrIZ4tD	false		
1323507912807976961	1604383850000	thomasmatzka	de	Ich bin erschüttert vom Statement der @KathaSchulze. Sowas kann man als normaler Mensch doch nicht bringen, nicht mal denken. Zeigt aber, wie viele (nicht alle) Grünen ticken. Ich weiß, wen ich 2021 NICHT bei der BTW wählen werde.	false		
1323300995233943552	1604334517000	Resultat1881	de	@death_grandma Bla bla bla. Ein rechter Troll 	false		
1323864059557646338	1604468762000	SordringOstNord	de	@NowaboFM Sie wollen doch wieder freie Medien? Gut so.	false		
1316391286220509185	1602687114000	d_s_thakur	de	RT @sonaliranade: Louise Glück and the importance of poetry https://t.co/lPhHWgEExI   @nilanjanaroy	true	1316382237504438272
1316382237504438272	1602684957000	sonaliranade	de	Louise Glück and the importance of poetry https://t.co/lPhHWgEExI   @nilanjanaroy	false		
1326997582141329408	1605215852000	Dylan_1941	de	@POLEXENA Mainstream Medien bitte sehr	false		
1326886047200980992	1605189260000	Aanjaa4	de	@19Mookie76 @DrPuerner Oder wie wäre es mit Homburg, der wurde hier als guter Arzt auch schon vorgeschlagen, er praktiziert aber in Hannover!	false		
1319603997280509958	1603453084000	nosimpnocry	de	wenn du dich ernst über geklaute tweets aufregst hast du twitter nicht verstanden	false		
1319022515721850880	1603314448000	lustmolch98	de	RT @JustLucy94: Ich hätte ehrlich gesagt gar nicht mit so viel Feedback gerechnet! Ich habe sooooo viele Nachrichten und Anrufe bekommen un	true	1310855076462972933
1310855076462972933	1601367179000	JustLucy94	de	Ich hätte ehrlich gesagt gar nicht mit so viel Feedback gerechnet! Ich habe sooooo viele Nachrichten und Anrufe bekommen und bin unendlich dankbar! Natürlich revanchiere ich mich bei euch! Ich werde natürlich noch ein Statement zu der ganzen Sache abgeben. Bleibt gesund! https://t.co/OGGT3exTqz	false		
1320153606293753861	1603584121000	zitat_spruch	de	Einer Gesetzgebung ist es wohl möglich, den Reichen arm zu machen,  aber es ist ihr vollständig unmöglich, den Armen reich zu machen. (Thomas Babington Macaulay) https://t.co/0OhmMlZH2J https://t.co/zc9HMoS1U6	false		
1328448102475427841	1605561683000	ba_bayoga	de	So, ihr Nutten.	false		
1326201578722877441	1605026070000	Babsi58089	de	RT @Coenni1: Geschmack hat sie  https://t.co/8LbMYF44X7	true	1326130654954852352
1326130654954852352	1605009161000	Coenni1	de	Geschmack hat sie  https://t.co/8LbMYF44X7	false		
1328117041870487553	1605482752000	jiminfaairy	de	@ayvantae q fcr kack bts bund	false		
1319400032450260993	1603404455000	0Thessa	de	RT @Kachelmann: .@Hornbach_tweets lügt.  Auch beim CO2 ist Waldverbrennen die dreckigstmögliche Lösung.  https://t.co/cnkhDeuxhq	true	1319312533698772994
1319312533698772994	1603383594000	Kachelmann	de	.@Hornbach_tweets lügt.  Auch beim CO2 ist Waldverbrennen die dreckigstmögliche Lösung.  https://t.co/cnkhDeuxhq	false		
1316796334364651526	1602783685000	hotg0g4	de	ich esse gern Wasser	false		
1325008517338689537	1604741622000	EulenTweet	de	RT @sternde: "ZDF Magazin Royale": Erst Ex-saufen, dann X-Akten  Böhmi startet stark https://t.co/Tmmb0wLcRP	true	1325007407894962176
1325007407894962176	1604741358000	sternde	de	"ZDF Magazin Royale": Erst Ex-saufen, dann X-Akten  Böhmi startet stark https://t.co/Tmmb0wLcRP	false		
1324375370368364547	1604590668000	GataInka	de	RT @SandraSturm81: *Werbung*  Achtung Achtung endlich ist es so weit   https://t.co/yxSDOImviD  & https://t.co/HYOFUjARPF  #video #Sandrast	true	1324295407602642945
1324295407602642945	1604571604000	SandraSturm81	de	*Werbung*  Achtung Achtung endlich ist es so weit   https://t.co/yxSDOImviD  & https://t.co/HYOFUjARPF  #video #Sandrasturm #fun #BikerGirl #berlin  @kabeleins #motorrad #Kawasaki #harleydavidson #Motorsport #MotoGP #live #race #socialmedia #funny #abenteuer #rock  #tattoo #ink https://t.co/PCD9EtQadr	false		
1316404766742851584	1602690328000	springyard99	de	@Dt_Aerzteblatt Hahaha, so ein Elektro Hubschrauber ist weltweit noch keine 100m geflogen, und wird auch nie fliegen, aber Bayern setzt bereits darauf 	false		
1317773758191501312	1603016721000	schalkgottes	de	RT @Fuku57025949: Es gibt Tage, da halte ich mich für sehr intelligent, stark, talentiert und überlegen.  Es gibt Tage, da halte ich mich f	true	1317772866214072320
1317772866214072320	1603016508000	Fuku57025949	de	Es gibt Tage, da halte ich mich für sehr intelligent, stark, talentiert und überlegen.  Es gibt Tage, da halte ich mich für den dümmsten und unfähigsten  Idioten, der auf dieser Welt wandelt.   Und dazwischen?   Leere.	false		
1325882455136612352	1604949985000	strandkorb100	de	RT @Hartes_Geld: Polizisten staunen nicht schlecht: Bei der #Razzia gegen Terror-Finanzierung im Islam-Zentrum prangert das Logo der #Grüne	true	1325876767324827650
